serial number,area,main poligon,#pictures,A1,A1_status,A1_cleaned,A1_right,A1_left,A1_color,A1_pattern,A2,A2_status,A2_cleaned,A2_right,A2_left,A2_color,A2_pattern,B3,B3_status,B3_cleaned,B3_right,B3_left,B3_color,B3_pattern,B4,B4_status,B4_cleaned,B4_right,B4_left,B4_color,B4_pattern,B5,B5_status,B5_cleaned,B5_right,B5_left,B5_color,B5_pattern,C6,C6_status,C6_cleaned,C6_right,C6_left,C6_color,C6_pattern,C7,C7_status,C7_cleaned,C7_right,C7_left,C7_color,C7_pattern,D8,D8_status,D8_cleaned,D8_right,D8_left,D8_color,D8_pattern,D9,D9_status,D9_cleaned,D9_right,D9_left,D9_color,D9_pattern
H99,Hazeka,hazeka,5,a4vyf,unique,a4vyf,,,f,a4vy,a1f,unique,a1f,,,f,a1,N,N,,,,,,P,P,,,,,,a2b,unique,a2b,,,,,c1g,unique,c1g,,,g,c1,P,P,,,,,,a4,partial_ambiguous,a4,,,4,,a2,unique,a2,,,,
H14,hazeka,hazeka,3,a4vyf,unique,a4vyf,,,f,a4vy,a3f,unique,a3f,,,f,a3,a2,partial_ambiguous,a2,,,,,c1,partial_ambiguous,c1,,,,,c1,partial_ambiguous,c1,,,,,c3g,unique,c3g,,,g,c3,a3,unique,a3,,,,,a3,partial_ambiguous,a3,,,3,,N,N,,,,,
H15m,"makhfi, hazeka",hazeka,7,b1i,unique,b1i,,,i,b1,a1i,unique,a1i,,,i,a1,a1,partial_ambiguous,a1,,,,,b2,partial_ambiguous,b2,,,,,a2,partial_ambiguous,a2,,,,,c4g,unique,c4g,,,g,c4,a4,unique,a4,,,,,a4b5,unique,a4b5,,,4,5,a2,unique,a2,,,,
K16,Keshet-Yonatan,Keshet-Yonatan,4,b1i,unique,b1i,,,i,b1,a3i,unique,a3i,,,i,a3,N,N,,,,,,N,N,,,,,,N,N,,,,,,b1i,unique,b1i,,,i,b1,c,unique,c,,,,,a4b5,unique,a4b5,,,4,5,a2,unique,a2,,,,
K106,Keshet-Yonatan,Keshet-Yonatan,5,d1m,unique,d1m,,,m,d1,a1i,unique,a1i,,,i,a1,N,N,,,,,,N,N,,,,,,N,N,,,,,,dk,unique,dk,,,k,d,N,N,,,,,,a4,partial_ambiguous,a4,,,4,,a2,unique,a2,,,,
K17f,"Keshet-Yonatan, Firing-Zone",Keshet-Yonatan,7,c2xN,partial_ambiguous,c2x,,,,c2x,a5i,unique,a5i,,,i,a5,a2,partial_ambiguous,a2,,,,,c1,partial_ambiguous,c1,,,,,c1,partial_ambiguous,c1,,,,,b1g,unique,b1g,,,g,b1,N,N,,,,,,a4b5,unique,a4b5,,,4,5,a2,unique,a2,,,,
S18,Saki,Saki,4,a1vxe,unique,a1vxe,,,e,a1vx,a10e,unique,a10e,,,e,a10,b,partial_ambiguous,b,,,,,c2a,unique,c2a,,,,,c2a,unique,c2a,,,,,c1f,unique,c1f,,,f,c1,b1,unique,b1,,,,,a4b5,unique,a4b5,,,4,5,a4,unique,a4,,,,
S100,Saki,Saki,4,a2txf,unique,a2txf,,,f,a2tx,a1e,unique,a1e,,,e,a1,a2b,unique,a2b,,,,,c1b,unique,c1b,,,,,c1b,unique,c1b,,,,,c1g,unique,c1g,,,g,c1,b1,unique,b1,,,,,a4b5,unique,a4b5,,,4,5,a4,unique,a4,,,,
S19,Saki,Saki,3,a4txf,unique,a4txf,,,f,a4tx,a3f,unique,a3f,,,f,a3,N,N,,,,,,P,P,,,,,,N,N,,,,,,c1g,unique,c1g,,,g,c1,c,unique,c,,,,,a4b5,unique,a4b5,,,4,5,a2,unique,a2,,,,
S20,Saki,Saki,5,b3j,unique,b3j,,,j,b3,a1j,unique,a1j,,,j,a1,a2a,unique,a2a,,,,,c2a,unique,c2a,,,,,c2a,unique,c2a,,,,,c2g,unique,c2g,,,g,c2,b1,unique,b1,,,,,a4b1,unique,a4b1,,,4,1,a2,unique,a2,,,,
F21,Firing-Zone,Firing-Zone,3,a2wxi,unique,a2wxi,,,i,a2wx,a6e,unique,a6e,,,e,a6,a3b,unique,a3b,,,,,c1b,unique,c1b,,,,,c1b,unique,c1b,,,,,c2g,unique,c2g,,,g,c2,b1,unique,b1,,,,,a4b5,unique,a4b5,,,4,5,a1,unique,a1,,,,
F104,Firing-Zone,Firing-Zone,3,a2wf,unique,a2wf,,,f,a2w,a11e,unique,a11e,,,e,a11,a2b,unique,a2b,,,,,b1b,unique,b1b,,,,,Ra1bLa2b,asymmetric,,a1b,a2b,,,c3g,unique,c3g,,,g,c3,c,unique,c,,,,,a4b5,unique,a4b5,,,4,5,a1,unique,a1,,,,
F22,Firing-Zone,Firing-Zone,3,a2tyj,unique,a2tyj,,,j,a2ty,a4j,unique,a4j,,,j,a4,a2,partial_ambiguous,a2,,,,,P,P,,,,,,P,P,,,,,,c3i,unique,c3i,,,i,c3,N,N,,,,,,a4b4,unique,a4b4,,,4,4,a2,unique,a2,,,,
F23,Firing-Zone,Firing-Zone,3,z1i,unique,z1i,,,i,z1,a5i,unique,a5i,,,i,a5,P,P,,,,,,P,P,,,,,,N,N,,,,,,N,N,,,,,,N,N,,,,,,N,N,,,,,,N,N,,,,,
F24,Firing-Zone,Firing-Zone,2,z1h,unique,z1h,,,h,z1,a5f,unique,a5f,,,f,a5,N,N,,,,,,N,N,,,,,,N,N,,,,,,h,partial_ambiguous,h,,,h,,N,N,,,,,,a4,partial_ambiguous,a4,,,4,,N,N,,,,,
F26,Firing-Zone,Firing-Zone,2,b1g,unique,b1g,,,g,b1,a2g,unique,a2g,,,g,a2,a1b,unique,a1b,,,,,b1b,unique,b1b,,,,,a1b,unique,a1b,,,,,c3h,unique,c3h,,,h,c3,a3,unique,a3,,,,,a3,partial_ambiguous,a3,,,3,,N,N,,,,,
Y27,Yehodiya,Yehodiya,3,a3vze,unique,a3vze,,,e,a3vz,a4e,unique,a4e,,,e,a4,a2a,unique,a2a,,,,,d,unique,d,,,,,a1b,unique,a1b,,,,,c1e,unique,c1e,,,e,c1,a1,unique,a1,,,,,a1b1,unique,a1b1,,,1,1,a2,unique,a2,,,,
Y101,Yehodiya,Yehodiya,4,a4uze,unique,a4uze,,,e,a4uz,a4e,unique,a4e,,,e,a4,a2b,unique,a2b,,,,,c2b,unique,c2b,,,,,c2b,unique,c2b,,,,,c1e,unique,c1e,,,e,c1,a3,unique,a3,,,,,a3b5,unique,a3b5,,,3,5,a2,unique,a2,,,,
Y28,Yehodiya,Yehodiya,2,N,N,,,,,,a1k,unique,a1k,,,k,a1,P,P,,,,,,P,P,,,,,,P,P,,,,,,ci,unique,ci,,,i,c,N,N,,,,,,a6b5,unique,a6b5,,,6,5,a1,unique,a1,,,,
Y29,Yehodiya,Yehodiya,7,c1zf,unique,c1zf,,,f,c1z,a5f,unique,a5f,,,f,a5,a3a,unique,a3a,,,,,c2a,unique,c2a,,,,,c2a,unique,c2a,,,,,c1f,unique,c1f,,,f,c1,a1,unique,a1,,,,,a3b4,unique,a3b4,,,3,4,a3,unique,a3,,,,
Y30,Yehodiya,Yehodiya,2,a4tze,unique,a4tze,,,e,a4tz,N,N,,,,,,b,partial_ambiguous,b,,,,,d,unique,d,,,,,a1b,unique,a1b,,,,,a3e,unique,a3e,,,e,a3,c,unique,c,,,,,a3,partial_ambiguous,a3,,,3,,N,N,,,,,
Y31,Yehodiya,Yehodiya,3,f,partial_ambiguous,f,,,f,,N,N,,,,,,b,partial_ambiguous,b,,,,,Rb1aLc2a,asymmetric,,b1a,c2a,,,Ra1aLc2a,asymmetric,,a1a,c2a,,,f,partial_ambiguous,f,,,f,,P,P,,,,,,a3,partial_ambiguous,a3,,,3,,N,N,,,,,
Y107,Yehodiya,Yehodiya,2,a1uxf,unique,a1uxf,,,f,a1ux,a4f,unique,a4f,,,f,a4,a3a,unique,a3a,,,,,b2a,unique,b2a,,,,,a1b,unique,a1b,,,,,a5g,unique,a5g,,,g,a5,b2,unique,b2,,,,,a4b5,unique,a4b5,,,4,5,a2,unique,a2,,,,
Y32,Yehodiya,Yehodiya,7,b2e,unique,b2e,,,e,b2,Ra1eLa10e,asymmetric,,a1e,a10e,,,a4b,unique,a4b,,,,,c2b,unique,c2b,,,,,c2b,unique,c2b,,,,,c1g,unique,c1g,,,g,c1,b1,unique,b1,,,,,a3b1,unique,a3b1,,,3,1,a2,unique,a2,,,,
Y102,Yehodiya,Yehodiya,2,b2e,unique,b2e,,,e,b2,a3e,unique,a3e,,,e,a3,a2a,unique,a2a,,,,,b2b,unique,b2b,,,,,a2b,unique,a2b,,,,,c1f,unique,c1f,,,f,c1,b1,unique,b1,,,,,a3,partial_ambiguous,a3,,,3,,a2,unique,a2,,,,
Y33,Yehodiya,Yehodiya,5,a1tze,unique,a1tze,,,e,a1tz,a4e,unique,a4e,,,e,a4,b,partial_ambiguous,b,,,,,b1b,unique,b1b,,,,,a1b,unique,a1b,,,,,c1e,unique,c1e,,,e,c1,a3,unique,a3,,,,,a3,partial_ambiguous,a3,,,3,,a2,unique,a2,,,,
Y34,Yehodiya,Yehodiya,4,a5uze,unique,a5uze,,,e,a5uz,a2e,unique,a2e,,,e,a2,b,partial_ambiguous,b,,,,,N,N,,,,,,a1b,unique,a1b,,,,,a1e,unique,a1e,,,e,a1,c,unique,c,,,,,a4,partial_ambiguous,a4,,,4,,a2,unique,a2,,,,
Y35,Yehodiya,Yehodiya,3,a5txe,unique,a5txe,,,e,a5tx,a4e,unique,a4e,,,e,a4,b,partial_ambiguous,b,,,,,N,N,,,,,,a1b,unique,a1b,,,,,a2e,unique,a2e,,,e,a2,c,unique,c,,,,,a3,partial_ambiguous,a3,,,3,,N,N,,,,,
Y36,Yehodiya,Yehodiya,7,d2i,unique,d2i,,,i,d2,a1k,unique,a1k,,,k,a1,P,P,,,,,,b1a,unique,b1a,,,,,a1a,unique,a1a,,,,,c2j,unique,c2j,,,j,c2,b1,unique,b1,,,,,a5b5,unique,a5b5,,,5,5,a4,unique,a4,,,,
Y39,Yehodiya,Yehodiya,2,b3j,unique,b3j,,,j,b3,a9j,unique,a9j,,,j,a9,Rb1aLd,asymmetric,,b1a,d,,,Rb1aLd,asymmetric,,b1a,d,,,Ra2bLd,asymmetric,,a2b,d,,,N,N,,,,,,N,N,,,,,,a6,partial_ambiguous,a6,,,6,,N,N,,,,,
Y40,Yehodiya,Yehodiya,5,b3j,unique,b3j,,,j,b3,a7j,unique,a7j,,,j,a7,N,N,,,,,,N,N,,,,,,N,N,,,,,,b1k,unique,b1k,,,k,b1,c,unique,c,,,,,a6b5,unique,a6b5,,,6,5,a4,unique,a4,,,,
Y41,Yehodiya,Yehodiya,2,a2tyi,unique,a2tyi,,,i,a2ty,a1i,unique,a1i,,,i,a1,a2a,unique,a2a,,,,,b2a,unique,b2a,,,,,a1a,unique,a1a,,,,,c1i,unique,c1i,,,i,c1,b1,unique,b1,,,,,a7b5,unique,a7b5,,,7,5,a4,unique,a4,,,,
Y42,Yehodiya,Yehodiya,4,a4tyi,unique,a4tyi,,,i,a4ty,a8i,unique,a8i,,,i,a8,N,N,,,,,,b2b,unique,b2b,,,,,a1b,unique,a1b,,,,,a3g,unique,a3g,,,g,a3,c,unique,c,,,,,a4b5,unique,a4b5,,,4,5,a4,unique,a4,,,,
Y43,Yehodiya,Yehodiya,3,a1txj,unique,a1txj,,,j,a1tx,a4j,unique,a4j,,,j,a4,b,partial_ambiguous,b,,,,,d,unique,d,,,,,a1a,unique,a1a,,,,,c3g,unique,c3g,,,g,c3,b2,unique,b2,,,,,a4,partial_ambiguous,a4,,,4,,a2,unique,a2,,,,
Y44,Yehodiya,Yehodiya,3,a5uyf,unique,a5uyf,,,f,a5uy,a1u,unique,a1u,,,,a1u,b,partial_ambiguous,b,,,,,b2b,unique,b2b,,,,,a1b,unique,a1b,,,,,a4g,unique,a4g,,,g,a4,c,unique,c,,,,,a4b5,unique,a4b5,,,4,5,a2,unique,a2,,,,
Y45,Yehodiya,Yehodiya,2,c1xj,unique,c1xj,,,j,c1x,a5j,unique,a5j,,,j,a5,a1a,unique,a1a,,,,,b1a,unique,b1a,,,,,a1a,unique,a1a,,,,,a3g,unique,a3g,,,g,a3,c,unique,c,,,,,a4b5,unique,a4b5,,,4,5,a4,unique,a4,,,,
Y46,Yehodiya,Yehodiya,2,a1vyh,unique,a1vyh,,,h,a1vy,a1h,unique,a1h,,,h,a1,a1b,unique,a1b,,,,,b2b,unique,b2b,,,,,a1b,unique,a1b,,,,,c1h,unique,c1h,,,h,c1,b2,unique,b2,,,,,P,P,,,,,,N,N,,,,,
Y47,Yehodiya,Yehodiya,3,b1f,unique,b1f,,,f,b1,a4f,unique,a4f,,,f,a4,a2b,unique,a2b,,,,,Rb2bLN,asymmetric,,b2b,N,,,a2b,unique,a2b,,,,,c1g,unique,c1g,,,g,c1,a2,unique,a2,,,,,aNb4,unique,ab4,,,,,a2,unique,a2,,,,
Y48,Yehodiya,Yehodiya,3,ayj,unique,ayj,,,j,ay,N,N,,,,,,a2a,unique,a2a,,,,,b1a,unique,b1a,,,,,a2a,unique,a2a,,,,,c1i,unique,c1i,,,i,c1,c,unique,c,,,,,N,N,,,,,,N,N,,,,,
Y37,"Yehodiya, Shaal",Yehodiya,2,a3uzf,unique,a3uzf,,,f,a3uz,a4f,unique,a4f,,,f,a4,N,N,,,,,,b1a,unique,b1a,,,,,a1a,unique,a1a,,,,,c3f,unique,c3f,,,f,c3,a1,unique,a1,,,,,a4b1,unique,a4b1,,,4,1,a3,unique,a3,,,,
Sh109,,Shaal,3,a3zf,unique,a3zf,,,f,a3z,a4f,unique,a4f,,,f,a4,N,N,,,,,,b2a,unique,b2a,,,,,a2a,unique,a2a,,,,,a3h,unique,a3h,,,h,a3,a1,unique,a1,,,,,a3,partial_ambiguous,a3,,,3,,,empty,,,,,
Sh49,Shaal,Shaal,6,b1i,unique,b1i,,,i,b1,a3i,unique,a3i,,,i,a3,a1a,unique,a1a,,,,,b2a,unique,b2a,,,,,a1a,unique,a1a,,,,,c3i,unique,c3i,,,i,c3,b2,unique,b2,,,,,a3b5,unique,a3b5,,,3,5,a3,unique,a3,,,,
Sh50,Shaal,Shaal,3,b2i,unique,b2i,,,i,b2,a1i,unique,a1i,,,i,a1,N,N,,,,,,N,N,,,,,,N,N,,,,,,c1i,unique,c1i,,,i,c1,b2,unique,b2,,,,,a3,partial_ambiguous,a3,,,3,,a2,unique,a2,,,,
Sh51,Shaal,Shaal,6,5u8,unique,5u8,,,,5u8,a9i,unique,a9i,,,i,a9,a1a,unique,a1a,,,,,b2a,unique,b2a,,,,,a1a,unique,a1a,,,,,c3i,unique,c3i,,,i,c3,a2,unique,a2,,,,,a4b1,unique,a4b1,,,4,1,a2,unique,a2,,,,
Sh52,Shaal,Shaal,5,b4i,unique,b4i,,,i,b4,a1i,unique,a1i,,,i,a1,a2a,unique,a2a,,,,,b1a,unique,b1a,,,,,a1a,unique,a1a,,,,,b2i,unique,b2i,,,i,b2,b2,unique,b2,,,,,N,N,,,,,,N,N,,,,,
Sh53,Shaal,Shaal,5,b3j,unique,b3j,,,j,b3,a1j,unique,a1j,,,j,a1,b,partial_ambiguous,b,,,,,b1a,unique,b1a,,,,,a2a,unique,a2a,,,,,c3g,unique,c3g,,,g,c3,b1,unique,b1,,,,,a4b5,unique,a4b5,,,4,5,a4,unique,a4,,,,
Sh54,Shaal,Shaal,4,c1yi,unique,c1yi,,,i,c1y,a5i,unique,a5i,,,i,a5,b,partial_ambiguous,b,,,,,d,unique,d,,,,,d,partial_ambiguous,d,,,,,c3g,unique,c3g,,,g,c3,b2,unique,b2,,,,,a3b5,unique,a3b5,,,3,5,a4,unique,a4,,,,
Sh55,Shaal,Shaal,1,a5uze,unique,a5uze,,,e,a5uz,N,N,,,,,,N,N,,,,,,N,N,,,,,,N,N,,,,,,N,N,,,,,,N,N,,,,,,a4,partial_ambiguous,a4,,,4,,a3,unique,a3,,,,
Sh57,Shaal,Shaal,6,a3tyf,unique,a3tyf,,,f,a3ty,a2f,unique,a2f,,,f,a2,N,N,,,,,,b1b,unique,b1b,,,,,a1b,unique,a1b,,,,,c1f,unique,c1f,,,f,c1,a1,unique,a1,,,,,a4b5,unique,a4b5,,,4,5,a2,unique,a2,,,,
Sh59,Shaal,Shaal,4,c1zf,unique,c1zf,,,f,c1z,a5f,unique,a5f,,,f,a5,N,N,,,,,,N,N,,,,,,N,N,,,,,,a3f,unique,a3f,,,f,a3,N,N,,,,,,a5bN,partial_ambiguous,a5b,,,,,N,N,,,,,
Sl60,Slopes,Slopes,1,d2j,unique,d2j,,,j,d2,a7j,unique,a7j,,,j,a7,N,N,,,,,,N,N,,,,,,N,N,,,,,,c2i,unique,c2i,,,i,c2,a1,unique,a1,,,,,a8b5,unique,a8b5,,,8,5,a4,unique,a4,,,,
Sl61,Slopes,Slopes,2,a3tzh,unique,a3tzh,,,h,a3tz,a1h,unique,a1h,,,h,a1,a2a,unique,a2a,,,,,b2a,unique,b2a,,,,,a2a,unique,a2a,,,,,a3g,unique,a3g,,,g,a3,N,N,,,,,,a3,partial_ambiguous,a3,,,3,,a2,unique,a2,,,,
Sl62,Slopes,Slopes,1,c1ye,unique,c1ye,,,e,c1y,a5e,unique,a5e,,,e,a5,N,N,,,,,,b2b,unique,b2b,,,,,a1b,unique,a1b,,,,,b1e,unique,b1e,,,e,b1,c,unique,c,,,,,a4,partial_ambiguous,a4,,,4,,a2,unique,a2,,,,
Sl103,Slopes,Slopes,1,c2ze,unique,c2ze,,,e,c2z,a5g,unique,a5g,,,g,a5,N,N,,,,,,b2b,unique,b2b,,,,,N,N,,,,,,a4f,unique,a4f,,,f,a4,a1,unique,a1,,,,,a3b4,unique,a3b4,,,3,4,a3,unique,a3,,,,
Sl64,Slopes,Slopes,3,a4vzf,unique,a4vzf,,,f,a4vz,a4f,unique,a4f,,,f,a4,a1b,unique,a1b,,,,,b2a,unique,b2a,,,,,a1b,unique,a1b,,,,,b1f,unique,b1f,,,f,b1,c,unique,c,,,,,a4b5,unique,a4b5,,,4,5,a4,unique,a4,,,,
Sl65,Slopes,Slopes,3,a1txh,unique,a1txh,,,h,a1tx,N,N,,,,,,a2a,unique,a2a,,,,,c2a,unique,c2a,,,,,c2a,unique,c2a,,,,,b1g,unique,b1g,,,g,b1,c,unique,c,,,,,a7b5,unique,a7b5,,,7,5,a2,unique,a2,,,,
O66,Odem,Odem,4,d2j,unique,d2j,,,j,d2,a7l,unique,a7l,,,l,a7,a2a,unique,a2a,,,,,b2a,unique,b2a,,,,,N,N,,,,,,c2i,unique,c2i,,,i,c2,c,unique,c,,,,,a6b5,unique,a6b5,,,6,5,a4,unique,a4,,,,
O67,Odem,Odem,4,b1i,unique,b1i,,,i,b1,a2i,unique,a2i,,,i,a2,N,N,,,,,,b2a,unique,b2a,,,,,a1a,unique,a1a,,,,,c1i,unique,c1i,,,i,c1,a1,unique,a1,,,,,a4b5,unique,a4b5,,,4,5,a4,unique,a4,,,,
O68,Odem,Odem,3,a5uxf,unique,a5uxf,,,f,a5ux,a1f,unique,a1f,,,f,a1,b,partial_ambiguous,b,,,,,N,N,,,,,,N,N,,,,,,a6f,unique,a6f,,,f,a6,a1,unique,a1,,,,,a3b5,unique,a3b5,,,3,5,a2,unique,a2,,,,
O69,Odem,Odem,3,d2k,unique,d2k,,,k,d2,a1k,unique,a1k,,,k,a1,b,partial_ambiguous,b,,,,,d,unique,d,,,,,a1a,unique,a1a,,,,,b2j,unique,b2j,,,j,b2,c,unique,c,,,,,a5b5,unique,a5b5,,,5,5,a4,unique,a4,,,,
O70,Odem,Odem,3,c1yf,unique,c1yf,,,f,c1y,a5f,unique,a5f,,,f,a5,Ra2bLb,asymmetric,,a2b,b,,,b2b,unique,b2b,,,,,a1b,unique,a1b,,,,,c1f,unique,c1f,,,f,c1,a1,unique,a1,,,,,a3b3,unique,a3b3,,,3,3,a2,unique,a2,,,,
O71,Odem,Odem,2,b4f,unique,b4f,,,f,b4,a8i,unique,a8i,,,i,a8,b,partial_ambiguous,b,,,,,b2b,unique,b2b,,,,,a1b,unique,a1b,,,,,c1g,unique,c1g,,,g,c1,a1,unique,a1,,,,,a4b5,unique,a4b5,,,4,5,a2,unique,a2,,,,
O72,Odem,Odem,2,a1wyi,unique,a1wyi,,,i,a1wy,a4i,unique,a4i,,,i,a4,b,partial_ambiguous,b,,,,,d,unique,d,,,,,N,N,,,,,,c3i,unique,c3i,,,i,c3,b2,unique,b2,,,,,a3b5,unique,a3b5,,,3,5,a2,unique,a2,,,,
O73,Odem,Odem,5,c2xe,unique,c2xe,,,e,c2x,a5e,unique,a5e,,,e,a5,N,N,,,,,,b2b,unique,b2b,,,,,N,N,,,,,,N,N,,,,,,N,N,,,,,,a2b3,unique,a2b3,,,2,3,a3,unique,a3,,,,
O74,Odem,Odem,4,c1ze,unique,c1ze,,,e,c1z,a5e,unique,a5e,,,e,a5,a2a,unique,a2a,,,,,c1b,unique,c1b,,,,,c1b,unique,c1b,,,,,a2e,unique,a2e,,,e,a2,N,N,,,,,,a1,partial_ambiguous,a1,,,1,,a3,unique,a3,,,,
O75,Odem,Odem,5,ae,unique,ae,,,e,a,N,N,,,,,,a3b,unique,a3b,,,,,c1b,unique,c1b,,,,,c1b,unique,c1b,,,,,e,partial_ambiguous,e,,,e,,N,N,,,,,,a1,partial_ambiguous,a1,,,1,,a3,unique,a3,,,,
O76,Odem,Odem,3,b1i,unique,b1i,,,i,b1,a10i,unique,a10i,,,i,a10,N,N,,,,,,N,N,,,,,,N,N,,,,,,c1f,unique,c1f,,,f,c1,c,unique,c,,,,,a4,partial_ambiguous,a4,,,4,,a2,unique,a2,,,,
O77,Odem,Odem,7,Ra3vzfLb1f,asymmetric,,a3vzf,b1f,,,a2f,unique,a2f,,,f,a2,a2b,unique,a2b,,,,,b2b,unique,b2b,,,,,a1b,unique,a1b,,,,,b1g,unique,b1g,,,g,b1,c,unique,c,,,,,a1,partial_ambiguous,a1,,,1,,a2,unique,a2,,,,
O78,Odem,Odem,7,Ra4vxiLa4txi,asymmetric,,a4vxi,a4txi,,,Ra7iLa10,asymmetric,,a7i,a10,,,a4a,unique,a4a,,,,,P,P,,,,,,N,N,,,,,,c1g,unique,c1g,,,g,c1,P,P,,,,,,a4b2,unique,a4b2,,,4,2,a3,unique,a3,,,,
O81,Odem,Odem,3,a2vye,unique,a2vye,,,e,a2vy,a3e,unique,a3e,,,e,a3,P,P,,,,,,b2b,unique,b2b,,,,,a1b,unique,a1b,,,,,a3f,unique,a3f,,,f,a3,a1,unique,a1,,,,,a3,partial_ambiguous,a3,,,3,,a3,unique,a3,,,,
O82,Odem,Odem,4,b2l,unique,b2l,,,l,b2,N,N,,,,,,Pa,partial_ambiguous,a,,,,,N,N,,,,,,dl,unique,dl,,,,,c,partial_ambiguous,c,,,,c,c,unique,c,,,,,a8,partial_ambiguous,a8,,,8,,a1,unique,a1,,,,
Sn83,Snir,Snir,5,b3i,unique,b3i,,,i,b3,a7j,unique,a7j,,,j,a7,N,N,,,,,,N,N,,,,,,N,N,,,,,,b2g,unique,b2g,,,g,b2,c,unique,c,,,,,a5b3,unique,a5b3,,,5,3,a4,unique,a4,,,,
